Model,Latency-Simple,Latency-Complex
codegemma:2b,3.021581443150838,19.161070394515992
codellama:7b,12.35310435295105,20.693977499008177
codestral:22b,87.97927907307943,147.64626367886862
deepseek-r1:1.5b,6.548801867167155,14.0031947294871
mistral:7b,9.011176204681396,22.3547945022583
mistrallite:7b,10.41974151134491,20.42470145225525
llama3.2:3b,6.260692437489827,14.012724876403809
llama2:13b,37.718106444676714,72.19064791997273
gemma2:2b,9.61617504755656,14.287056128184
qwen:1.8b,6.057451367378235,5.004230658213298
qwen:4b,2.619233787059784,5.058344761530559
qwen2.5:0.5b,3.521810829639435,5.66171924273173
qwen2.5:1.5b,4.528248101472855,9.644121249516806
qwen2.5:14b,29.484867483377457,46.14466881752014
qwen2.5:3b,9.547015190124512,15.169909318288168
qwen2.5-coder:1.5b,4.156476259231567,7.602213621139526